,pearson_abs,spearman_abs,mutual_information
load,0.7503409372142903,0.5196175849188182,0.3245935324139325
pgpgio,0.6889230531111427,0.5196142751345714,0.324543232684371
io (MB/s),0.6731032646535619,0.5053445149717453,0.2585800479989643
ram (GB),0.6567587665081976,0.45633708611940976,0.2246193576811828
processes,0.5674401232071886,0.4608842606878512,0.21516486825860226
CPU (%),0.5642134544487238,0.4413149879307938,0.20510029179175193
CPU system (%),0.5498733045795368,0.42902763576431596,0.19486561299984628
writeback (MB),0.4360592648435337,0.3239325265928924,0.1413937170464159
network_errors,0.5046344459988273,0.24482008505073297,0.11650318603900778
threads,0.32794253823194514,0.289625555053172,0.1111221021180635
cpu_intr,0.33386046592610136,0.3224361760352262,0.10840664798258404
memory (GB),0.31756690604517074,0.2929723664330347,0.10522278667691487
network_bandwidth,0.40851968075233486,0.22855013853515443,0.10152619552532016
Database Read Operations per Second,0.39846719994540886,0.20342978767013212,0.09520309519807046
Database Write Operations per Second,0.39117296372627075,0.19664618527853758,0.09367980550372645
process_memory_usage,0.3908634758401479,0.19542173620877684,0.08831825248624114
ops_sda,0.24881426952765387,0.2249340381279763,0.0800797093006902
process_cpu_usage,0.3559904090522262,0.165289745983927,0.07918764413454937
Incoming HTTP Requests per Second,0.3243326157654576,0.15698851836526365,0.07431271136621587
Outgoing HTTP Requests per Second,0.31821565274607916,0.15708009420086547,0.07344017021578586
util_sda (%),0.25032398144716067,0.24497434729063045,0.07329522902029662
Outgoing HTTPS Requests per Second,0.2903527119762963,0.12958934866712815,0.062349824641191764
Memory Usage by Process,0.2824891019694998,0.13397688970643823,0.06005393494144817
Database Latency (ms),0.2735577485762831,0.12573671456934368,0.05853929894647991
TCP Connection Count,0.2666899265324005,0.1098148594592809,0.049916897426126816
Network Port Utilization,0.27095052223424737,0.10859248307698667,0.04925440001523684
network_latency,0.25657465435488935,0.117776792181131,0.04913900269129012
Network ICMP Echo Latency,0.2538335551417924,0.10588719753931268,0.048691154447486173
UDP Packet Count,0.26037286141680643,0.10257311346325396,0.04853049653524755
Incoming HTTPS Requests per Second,0.24290533659227642,0.10629578139663473,0.04728564779817601
Network ICMP Echo Loss Rate,0.20182009067876627,0.09851213501527016,0.04518986001281422
disk_write_speed,0.22144560994190454,0.10418941708893652,0.044454747368364966
disk_read_speed,0.21614947553663935,0.09897107709512401,0.04429451113664595
Disk Write Operations per Second,0.2166411464834644,0.0985584529406176,0.04333286090025856
packet_loss_rate,0.20383712771798362,0.09304319786915412,0.04246732297260647
Network UDP Datagram Size,0.19964570785207486,0.09164618573212774,0.042355460102365905
CPU Utilization by Core,0.19937910318658592,0.08333225756224076,0.03776871955244121
Disk I/O Utilization by Process,0.17844821618408607,0.08435701849438713,0.03689254376252071
Network TCP Connection Reset Rate,0.14763400452863382,0.07082018349005927,0.03374950780197894
root_partition_usage,0.18507316960979978,0.08514582329970691,0.032605330072111416
user_partition_usage,0.179178719747647,0.0772608906285617,0.03114247920631974
CPU Load Average,0.15794526587396066,0.06913013491448942,0.029773737514118714
Network Interface Throughput,0.15156577136622745,0.06306698367514134,0.028012368437804636
Network Interface Broadcast Packets,0.11976735968997318,0.057623762287366785,0.024745041320896943
Network UDP Loss Rate,0.11666724033264124,0.05714651993602862,0.024645923208554077
firewall_connections_blocked,0.09514996906965005,0.051518649230451734,0.019443496540497485
firewall_packets_dropped,0.0842484917021314,0.041523587927853566,0.018135411522605338
CPU_steal_time,0.08297880397866939,0.03450940800454091,0.015919065027788948
Network Interface Multicast Packets,0.07964608930225231,0.034315590364463515,0.015205383799079542
CPU_guest_time,0.07486397341727365,0.028612785367444927,0.014194722263622506
Network TCP Retransmission Rate,0.06895150702109795,0.025653209367794392,0.014172694208060221
active_users,0.07339121444380312,0.03100056636216765,0.014148055515374347
docker_container_count,0.06784396340673073,0.025051843636777413,0.01395714351332189
system_uptime,0.08292686465962223,0.03614933622588963,0.01376489068903708
disk_free_space,0.08828985710192963,0.037760476608114345,0.013748371179492347
swap_usage,0.08446884465350506,0.03343905141223331,0.01367022556340447
TCP Connection Count by State,0.07102736770351623,0.029144305572292858,0.013105304732390355
CPU_nice_time,0.0682707363208027,0.028004886340781545,0.012940901845544195
timestamp,0.0017592379306957462,0.0017606467144854478,0.0
available (MB),0.002292579764812704,0.0006296958950532314,0.0
