feature,lower_iqr_bound,upper_iqr_bound,outlier_rate,normal_outlier_rate,attack_outlier_rate
available (MB),-18297.0,31167.0,0.1286,0.12898888888888888,0.1251
load,-0.615,3.825,0.04637,0.0,0.4637
ram (GB),-0.5,11.5,0.04553,0.0,0.4553
network_errors,-5.279667371625001,15.741889401375,0.0372,0.0,0.372
Database Read Operations per Second,-510.00825367499993,1558.755565925,0.02568,0.0,0.2568
process_memory_usage,-3.627117758,15.001174068,0.02485,0.0,0.2485
Database Write Operations per Second,-253.0940723375,778.1709735625,0.02462,0.0,0.2462
network_bandwidth,-362.8621471124999,1503.0412989874999,0.024,0.0,0.24
process_cpu_usage,-51.356610013749986,154.62074175624997,0.02204,0.0,0.2204
io (MB/s),-1.0,7.0,0.01998,0.0,0.1998
Incoming HTTP Requests per Second,-24.281091612500003,76.87143140750001,0.01908,0.0,0.1908
Outgoing HTTP Requests per Second,-24.1450573025,76.76075237750001,0.01854,0.0,0.1854
Outgoing HTTPS Requests per Second,-11.952352619374993,38.11046198362499,0.01773,0.0,0.1773
pgpgio,19.5,1135.5,0.01616,0.0,0.1616
Memory Usage by Process,-51.186090557499995,153.5810269625,0.01577,0.0,0.1577
Network Port Utilization,-50.78342204749999,153.04935673249997,0.01571,0.0,0.1571
TCP Connection Count,-439.4596696499999,1507.20717815,0.01549,0.0,0.1549
Database Latency (ms),-23.737746067500005,76.0152177325,0.01515,0.0,0.1515
UDP Packet Count,-238.8818931499999,759.68184385,0.01508,0.0,0.1508
network_latency,-3.667190656250001,14.862667929750002,0.01457,0.0,0.1457
Network ICMP Echo Latency,-23.90606464125,76.08187096875,0.01431,0.0,0.1431
Incoming HTTPS Requests per Second,-11.895082703124999,37.936007049875,0.01358,0.0,0.1358
CPU system (%),-4.5,23.5,0.01235,0.0,0.1235
Disk Write Operations per Second,-50.99577808875,152.84327514125,0.01191,0.0,0.1191
disk_write_speed,-178.10570633750004,736.5197717625001,0.01165,0.0,0.1165
writeback (MB),-100.5,727.5,0.01139,0.0,0.1139
disk_read_speed,-177.76286931250004,737.8846721875001,0.01114,0.0,0.1114
packet_loss_rate,-0.8732199859999998,2.999037016,0.01068,0.0,0.1068
Network UDP Datagram Size,-667.9501301875,2256.2370005125003,0.01016,0.0,0.1016
CPU Utilization by Core,-51.24520664125001,152.97182076875,0.0096,0.0,0.096
Network ICMP Echo Loss Rate,-2.544370453,7.653885401,0.00939,0.0,0.0939
user_partition_usage,-30.24694032125,131.53260838875002,0.00938,0.0,0.0938
root_partition_usage,-30.744720831250014,131.93809869875003,0.00919,0.0,0.0919
CPU (%),-9.0,47.0,0.00911,0.0,0.0911
Disk I/O Utilization by Process,-50.47198058749999,152.1580708925,0.00857,0.0,0.0857
Network Interface Throughput,-512.0735198625,1523.2649898375,0.00829,0.0,0.0829
CPU Load Average,-2.515584877749999,7.566108020249999,0.00823,0.0,0.0823
Network TCP Connection Reset Rate,-2.5143927759999993,7.604008735999999,0.00666,0.0,0.0666
Network Interface Broadcast Packets,-50.57513182625001,151.58051050375002,0.00552,0.0,0.0552
Network UDP Loss Rate,-1.514095437625,4.555019333375,0.00515,0.0,0.0515
CPU_steal_time,-5.0092045856250005,15.094767257375,0.00474,0.0,0.0474
swap_usage,-17.58346170999999,72.73444866999999,0.00455,0.0,0.0455
disk_free_space,-178.46618965000008,730.0583115500001,0.00454,0.0,0.0454
Network Interface Multicast Packets,-49.839587671249994,150.54971201875,0.00433,0.0,0.0433
system_uptime,-37897.25595499999,128503.96134499999,0.00423,0.0,0.0423
CPU_guest_time,-5.0244552273749985,15.113671389624999,0.00411,0.0,0.0411
processes,-60.0,588.0,0.00396,0.0,0.0396
Network TCP Retransmission Rate,-5.0100279876250005,15.087245249375,0.00389,0.0,0.0389
docker_container_count,-5.128574142,15.176107582,0.00389,0.0,0.0389
active_users,-48.98915970500001,150.58869657500003,0.00385,0.0,0.0385
TCP Connection Count by State,-49.43694695999999,150.15433758,0.00381,0.0,0.0381
firewall_packets_dropped,-50.31526775749999,151.25839428249998,0.00379,0.0,0.0379
firewall_connections_blocked,-25.301671584999994,75.691706535,0.00379,0.0,0.0379
CPU_nice_time,-5.023261170249999,15.076931319749999,0.00364,0.0,0.0364
util_sda (%),16.5,116.5,0.0,0.0,0.0
ops_sda,-90.0,710.0,0.0,0.0,0.0
threads,25.5,333.5,0.0,0.0,0.0
cpu_intr,-10.5,113.5,0.0,0.0,0.0
memory (GB),-3.0,13.0,0.0,0.0,0.0
timestamp,1653263496.0,1653265504.0,0.0,0.0,0.0
