,timestamp,CPU (%),CPU system (%),memory (GB),threads,ops_sda,util_sda (%),available (MB),writeback (MB),cpu_intr,io (MB/s),load,pgpgio,processes,ram (GB),network_bandwidth,packet_loss_rate,disk_free_space,swap_usage,disk_read_speed,disk_write_speed,network_latency,network_errors,process_cpu_usage,process_memory_usage,firewall_packets_dropped,firewall_connections_blocked,active_users,root_partition_usage,user_partition_usage,system_uptime,docker_container_count,CPU_steal_time,CPU_guest_time,CPU_nice_time,TCP Connection Count,UDP Packet Count,Incoming HTTP Requests per Second,Outgoing HTTP Requests per Second,Incoming HTTPS Requests per Second,Outgoing HTTPS Requests per Second,Database Read Operations per Second,Database Write Operations per Second,Database Latency (ms),Network ICMP Echo Latency,Network ICMP Echo Loss Rate,Network TCP Retransmission Rate,Network UDP Loss Rate,Network TCP Connection Reset Rate,Network UDP Datagram Size,Network Port Utilization,Disk Write Operations per Second,Network Interface Throughput,CPU Utilization by Core,CPU Load Average,Disk I/O Utilization by Process,Memory Usage by Process,Network Interface Broadcast Packets,Network Interface Multicast Packets,TCP Connection Count by State,is_attack
timestamp,1.0,0.0017995554186822605,-0.002403900945412009,-0.0007567172107575377,-0.003915221933855385,0.0018074426838498277,-0.00019419522223715655,-0.00012995319787544133,-0.0024764068948142466,-0.0015680754035031898,-0.0009274690955563551,-0.0025058058656426295,-0.001964890595590478,-0.0017858113600470677,-0.002759129589379194,0.0016917294124548547,0.004673315988029221,0.0007367622768107946,0.0010310032849578067,-0.0007565473849986237,-0.004082529868577013,-0.0022136912764746963,-0.003970674995873768,-0.00013376687578527322,0.0021141307445041073,0.0006697308084616888,-0.0001614700428763193,0.00463480209325901,-0.0019089980713139136,-0.0026664806396642132,0.0064883716302586965,0.001265212468175941,-0.001093331372584505,0.0024155057289956604,0.002543902310431935,-0.0008771168899571984,0.0047692370534794075,-0.00446655544101152,-0.0008481568514794598,-0.001675114265834131,0.004900978634936045,-0.0031642734259736426,-0.00503909477435372,-0.003637640990202893,-0.0024381404524590443,0.0015407690446466444,0.0009920827560482622,-0.0012179140021414475,-0.0010183809110781063,-0.006039431396333487,4.007364228652556e-06,0.0017912776433335871,0.0012201006702108094,-0.0004717967324952645,0.0010587433873568653,0.003093921667884408,0.0008191957741339248,0.0033059382982447132,-0.000881588713279412,-0.0038981226407529073,-0.0017592379306957462
CPU (%),0.0017995554186822605,1.0,0.31227339744267846,0.177907420640001,0.18366530281584606,0.13462425262710234,0.14323323223872741,-0.005370801873638858,0.2442376731835655,0.1850600515287099,0.3789185121693748,0.4200944679423154,0.38598780104535224,0.31844329844679375,0.3740949825405369,0.23034214413663703,0.11164410798088992,0.05237353711834481,0.04573957878703349,0.12092786924130985,0.12213814644207668,0.14246986161978953,0.28417759680367916,0.20245603351362298,0.22163661253949574,0.05330854202519265,0.055648276877980206,0.04081754034520214,0.10412828635052351,0.10055008957582288,0.0485546504270451,0.0397942511964185,0.04578223821770646,0.043179220661483095,0.039732016553004276,0.15094823938359994,0.14861321579193892,0.176590202196055,0.17566787193183098,0.1357918399580415,0.16661424679789463,0.22469064999027694,0.21872662918310604,0.154983092744947,0.1434842677422169,0.11473539543706421,0.03854935260150541,0.0634578097519041,0.07939522572193572,0.11190866067041796,0.15113765494708317,0.1165985010557522,0.08123255936583922,0.11281209133768345,0.09206040714667332,0.10256428036760518,0.16310760048702083,0.06450826442665276,0.042732878056209504,0.0343516707625777,0.5642134544487238
CPU system (%),-0.002403900945412009,0.31227339744267846,1.0,0.17593845295684504,0.1809006628482494,0.13786990335995655,0.13740176412803856,-0.0041142330250946305,0.23830606831255863,0.1825768488623863,0.37143910435547867,0.41319569753338736,0.3787561616651247,0.3099124722054377,0.3623264993456315,0.22587257094765725,0.11391353478943568,0.05082054910040417,0.044382467922441375,0.11495703523395652,0.11860570782345907,0.1440746229971886,0.27973138173937545,0.19581916496698207,0.21448295952951474,0.04819501894510091,0.05247252334332393,0.04034262172863207,0.10095733863341504,0.1022602904257245,0.048163907558931775,0.03693399750826446,0.046508099670753276,0.04080033945176958,0.0379154627598179,0.14317764401588218,0.14174616712201146,0.17758089436601318,0.17377134129229532,0.13207524299438,0.1549228462455001,0.21753625676543586,0.21505730478209473,0.1457161256066361,0.14272100195011836,0.10934965253318832,0.03805640235503116,0.06022757600892478,0.08093973912990725,0.10733682536638131,0.14941388075787232,0.12030811096982699,0.08778692788473129,0.10818657053688645,0.08752621886790417,0.09653967996534649,0.1528707594665912,0.06560997941484324,0.050145541597594795,0.037139514802937354,0.5498733045795368
memory (GB),-0.0007567172107575377,0.177907420640001,0.17593845295684504,1.0,0.10572687244146745,0.0791959869760629,0.07530927508389515,0.0013383792778693304,0.13680524764034044,0.10567711632037245,0.2158440547163225,0.23824806464690837,0.22256845243457268,0.18441950310347238,0.20967372367113946,0.12773386236196524,0.0681028769041185,0.031442689641905476,0.02865402759985263,0.06487783009357699,0.07248383418574174,0.08527949301446892,0.16282215794858543,0.11228832876773405,0.12504482107883863,0.02173186942670862,0.029106080827680812,0.024515422643715454,0.06005986596803311,0.05433264815701603,0.02648816028373843,0.016951745277246463,0.0288396028835595,0.020616468679408948,0.019100089556691267,0.0852249022789379,0.080893037422417,0.10410512505398507,0.10209836847534998,0.07742480314123126,0.0913984299628397,0.12732003122560445,0.13024719392773948,0.08730328418009052,0.0818252035808871,0.06338053566878629,0.030403607630938637,0.030799202338170902,0.043654825523167635,0.06492589850376759,0.08863835093448107,0.06915766055008064,0.04838917746988863,0.06610448398766978,0.05267909881437443,0.0545074570018699,0.08968027106341472,0.04132722897990965,0.026687131559433627,0.020692275220630055,0.31756690604517074
threads,-0.003915221933855385,0.18366530281584606,0.1809006628482494,0.10572687244146745,1.0,0.08066231898470543,0.08111059856091876,-0.0028156614843407196,0.14562072656710134,0.10503193555957473,0.2224096066486733,0.24671062855826367,0.22627650531862545,0.18374853817201178,0.21796021993800277,0.1372047624690606,0.07088068733822805,0.02746534432093875,0.02503039658413244,0.07381252527731567,0.07457217804836874,0.08368863591683066,0.16654825871707404,0.11702167551404327,0.13168842705141884,0.02321946558855763,0.02725565433464058,0.020082391396813604,0.06071347600900564,0.05532714557886922,0.025779214129209273,0.023465720905431402,0.02845451756654955,0.030354789955725988,0.016647520135125563,0.09060278503417593,0.08661974360025719,0.10863596322175002,0.10780414608139817,0.08107097002713394,0.10031351188840235,0.13560682452513123,0.12791827142709167,0.0901096295879243,0.0858966716178915,0.06599546543209135,0.02745018684781553,0.034773457701118164,0.04523524600254692,0.06135458644618484,0.0926668385088229,0.07247268808758782,0.04932765244170549,0.06914615481651071,0.04893918964505949,0.05678093167511485,0.08940722185489403,0.04232413114581605,0.026012737727897303,0.02282430830586261,0.32794253823194514
ops_sda,0.0018074426838498277,0.13462425262710234,0.13786990335995655,0.0791959869760629,0.08066231898470543,1.0,0.06474014459300709,0.0033083987895326933,0.1130652519647928,0.08201306466734819,0.16543217250889444,0.18606498657392528,0.17080570203199857,0.1371646441174517,0.1614468899829492,0.10009826181091229,0.052131396031214146,0.017250190185032016,0.02133296894596249,0.061615836269067595,0.05185169360283896,0.061995179215954876,0.13014080144168555,0.08976291136402434,0.09455020925897749,0.020712406453746307,0.022487257947858195,0.019584952065293194,0.04525162560113994,0.04509278309142175,0.02346236565789816,0.015262881473528143,0.02149364730446863,0.016264752264231287,0.01618443084454178,0.06313524837765139,0.05974170227056572,0.08485089882992149,0.08112449858852855,0.061631177927837746,0.07559803552715195,0.10174802395247674,0.09703697843910307,0.07306016215129024,0.060442595143242954,0.04551018898276769,0.020956906625501245,0.0255928787329504,0.04241420451916506,0.048889855042324334,0.06835015759352951,0.054237129758528596,0.0381390601121385,0.04773721537729275,0.037887899891393455,0.04524227648267528,0.06927502219546988,0.03090840589244714,0.01795967999214241,0.01854585874998221,0.24881426952765387
util_sda (%),-0.00019419522223715655,0.14323323223872741,0.13740176412803856,0.07530927508389515,0.08111059856091876,0.06474014459300709,1.0,-0.0028351444954869483,0.11255468415450089,0.08759032683287604,0.17173616020150873,0.18860727238334885,0.1708614628179792,0.14358782588201796,0.16479538973281663,0.10319485126547875,0.0487834979173336,0.028942791217098102,0.021714709917767618,0.05306895420932405,0.059310228959914175,0.061529923259854694,0.1296918650805935,0.08626594361890466,0.0947048014019276,0.02434409789367877,0.016684435569287684,0.020114828007859464,0.04849479893656736,0.045448914513068754,0.02086999957763452,0.015910159768952617,0.01869577983122643,0.020112144099188628,0.009509617635615067,0.06471910220596092,0.06767840579147327,0.08271356620261659,0.08306113792764046,0.05929960852097304,0.07118871487217941,0.10033510191882493,0.09639198883745465,0.06695010548026126,0.06420653311172837,0.04882923682476413,0.017299289321875702,0.03221170614790043,0.034385237635852085,0.04872358253212927,0.06965576888231487,0.05499712559165573,0.042222883193232454,0.0466953959740886,0.03699422867513226,0.04360600114744304,0.07021878219819995,0.028836710831770893,0.02165723915446419,0.02457641578311642,0.25032398144716067
available (MB),-0.00012995319787544133,-0.005370801873638858,-0.0041142330250946305,0.0013383792778693304,-0.0028156614843407196,0.0033083987895326933,-0.0028351444954869483,1.0,-0.002992748808205232,-0.0031719842900954642,-0.004527231882287532,-0.0027970857648478465,0.0011582814119576034,-0.0020285279076748338,0.00043308422038662017,-0.0009934893681108976,-0.0007344210662336805,-0.0020164496652074477,-0.003341191062311475,-0.005973326851449449,0.0010812112275441928,0.004117271728415869,2.370096953875723e-05,-0.0005845408395766336,-0.005839642811154851,-0.003136804601778455,0.005804635298242421,0.00010758910884789828,-0.0016270739952676412,0.0016705517763449815,-0.0021870767819516016,-0.00685583366736526,-0.002769690941420945,-0.004327739321920122,0.005639654610973638,-0.002892053087357001,-0.007056019476118325,0.0028777315040456287,0.00016685186811179017,0.0037212308016259326,0.0035564247321555023,0.0009153068186158079,0.0018431117508995588,-0.0008221148309397461,0.0022000459281024355,0.0022553648727172003,0.0008393631198919516,-0.002568716524511407,0.0006374967296866798,0.010211560809519848,-0.003073636359820446,-0.0043974252686630804,0.0010023365527628647,-0.0003107290022243791,-0.003373149155701276,-0.0036977180285246505,0.0005202657484061401,0.005718267081321617,0.007137524281178985,0.00520582864821085,-0.002292579764812704
writeback (MB),-0.0024764068948142466,0.2442376731835655,0.23830606831255863,0.13680524764034044,0.14562072656710134,0.1130652519647928,0.11255468415450089,-0.002992748808205232,1.0,0.140219417404171,0.2908990201097946,0.3302484940623662,0.2987144555683441,0.245858003592022,0.2895368157173178,0.1819381621344206,0.0900920706252905,0.03976315840670628,0.03495502736293256,0.09262665302762779,0.09483485428587356,0.11223709049959218,0.22094624614296937,0.1562481540963042,0.16758134148642848,0.03245634952983226,0.04140944163509899,0.02715465757677135,0.081431871138686,0.07628677675983123,0.03664515663014753,0.026774942725793,0.03525823235168427,0.030775918510435867,0.025911908466596675,0.12240338110219755,0.11520968258998963,0.14498361986858727,0.14271438911130255,0.10520611488543546,0.1275343165867452,0.17202529629711755,0.16842400401144078,0.1185287841830843,0.11768367739012654,0.08609288424582522,0.03278962546066493,0.048571754115501554,0.06411604480741867,0.08718669821967472,0.1186695732960693,0.09618543559534734,0.06419896094794042,0.08672916764644455,0.07063416878878134,0.08019623710358337,0.12287631683761785,0.04956373689392634,0.03380603822991591,0.02953927843218661,0.4360592648435337
cpu_intr,-0.0015680754035031898,0.1850600515287099,0.1825768488623863,0.10567711632037245,0.10503193555957473,0.08201306466734819,0.08759032683287604,-0.0031719842900954642,0.140219417404171,1.0,0.2240189025189222,0.2520528840111241,0.23157257542189202,0.1863269484897236,0.2184980857745933,0.13576473570075565,0.06763053965329259,0.02823539176503878,0.029014523112710636,0.06932140072318226,0.07353310456903898,0.08485618199164802,0.16676584115316734,0.11545797245252314,0.13209056289170845,0.029480538153127053,0.03494455709392024,0.023612000652138167,0.0625275694586496,0.06070473949418488,0.024089858912084147,0.021711960045042798,0.03417393433474187,0.027596460772573692,0.020398951850163712,0.09139571467032938,0.08398900360689676,0.10872723282724081,0.10813750068634956,0.0810105094492891,0.0931547068992255,0.1322338480954244,0.13056286513155957,0.09216697840936572,0.08739242862961154,0.06761963170337733,0.02095735017412322,0.03929322163545155,0.0463465526017608,0.06498724379153552,0.0885099762832713,0.0678133609273521,0.04961394416654021,0.06621639434090043,0.05455949835277017,0.05505622525864573,0.0958508800276141,0.04160137181571067,0.03112972768906371,0.026561079485269232,0.33386046592610136
